Codigo,E. coli,Cloro Residual Livre(mg/L),Turbidez(uT)
S431720000001,Ausente,0.76,0.4
S431720000001,Ausente,1.19,0.1
S431720000001,Ausente,0.76,0.4
S431720000001,Ausente,0,0.2
S431720000001,Ausente,0.76,0.2
C430045000020,Ausente,0,0.2
C430045000006,Ausente,0,0.2
C430045000009,Ausente,0,0.6
C430045000012,Ausente,0,0.5
C430045000008,Ausente,0,0.8
C430045000013,Ausente,0,0.3
S430900000001,Ausente,0.92,0.2
C430900000042,Ausente,0,0.2
C430900000023,Ausente,0.8,0.1
S430900000001,Ausente,1.22,0.1
S430900000001,Ausente,1.25,0.1
S430900000001,Ausente,0.94,0.1
S430900000001,Ausente,0.98,0.7
S430900000001,Ausente,0.99,0.1
C430900000051,Ausente,0,0.3
C430900000033,Presente,0,0.3
C432032000001,Ausente,0,0.1
C432032000004,Ausente,0,0.1
C432230000009,Ausente,0,0.4
C432230000029,Presente,0,0.3
C432032000006,Ausente,0,0.6
C432032000005,Ausente,0,0.4
C432032000012,Ausente,0,0.1
C432032000007,Ausente,0,0.2
C432230000014,Ausente,0,0.1
C432230000002,Ausente,0,0.4
C432230000012,Ausente,0,0.2
C432230000015,Presente,0,0.7
C431500000044,Ausente,0,0.4
C432032000015,Ausente,0,0.2
C432230000016,Ausente,0,0.2
C432230000019,Ausente,0,0.1
C432230000013,Ausente,0,0.9
C432230000026,Ausente,0,0.2
C432230000023,Ausente,0,0.2
C431500000005,Ausente,0,0.2
C432230000001,Ausente,0,0.2
C432230000027,Ausente,0,0.1
C432230000022,Ausente,0,0.3
C431500000034,Ausente,0,0.7
C431500000035,Presente,0,0.8
C432230000011,Ausente,0,0.1
C431500000006,Ausente,0,0.3
C431500000008,Presente,0,0.2
C431500000031,Ausente,0,0.2
C431500000002,Ausente,0,0.5
C431500000019,Ausente,0,0.2
C431500000007,Ausente,0,0.2
S432180000001,Ausente,2.05,0.2
S432180000001,Ausente,1.04,0.2
S432180000001,Ausente,0.85,0.4
S432180000001,Ausente,0.82,0.1
S432180000001,Ausente,2.2,0.1
S432180000001,Ausente,2.33,0.6
S430370000001,Ausente,0,0.7
S430370000001,Ausente,0,0.2
I430370000033,Presente,0,12.7
S430370000001,Ausente,0.5,0.2
C430370000007,Ausente,0,0.4
S430030000001,Ausente,0.74,0.9
S430030000001,Ausente,1.1,0.3
C430030000018,Ausente,0,0.2
S430030000001,Ausente,0.53,0.3
C430030000032,Ausente,0,0.6
C430030000003,Presente,0,6.7
C430030000017,Presente,0,0.4
C430030000016,Presente,0,0.6
C430030000028,Presente,0,0.2
C430220000005,Ausente,0,0.6
S430220000001,Ausente,0.79,0.4
C430220000006,Ausente,0,0.5
S430220000001,Ausente,0.68,0.2
S430370000001,Ausente,1.07,0.3
I430370000014,Ausente,0,0.1
C432180000041,Presente,0,0.3
C432180000028,Ausente,0,0.3
C430370000002,Ausente,0,0.2
S432180000001,Ausente,0.96,0.2
S430370000001,Ausente,1.08,0.3
C432180000045,Ausente,0,0.2
C432180000040,Ausente,0,0.1
C432180000029,Ausente,0,0.6
C432180000035,Ausente,0,0.2
C432180000046,Presente,0,0.1
S432180000001,Ausente,2.43,0.3
S432180000001,Ausente,2.04,0.3
S432180000001,Ausente,1.96,0.4
C430960000015,Presente,0,0.3
C430960000004,Presente,0,0.3
C430960000023,Presente,0,0.6
C430960000002,Ausente,0,0.2
C430960000006,Ausente,0,0.4
C430960000019,Ausente,0,0.3
C430960000035,Presente,0,0.1
C430960000036,Ausente,0,0.4
S430960000001,Ausente,10.4,0.1
S430960000001,Ausente,1.26,0.2
C430960000030,Ausente,0,0.1
C431040000014,Presente,0,12.2
C430960000010,Ausente,0,0.1
S430960000001,Ausente,0.8,0.4
S431040000001,Ausente,1.75,0.3
S431040000001,Ausente,1.55,0.3
C432032000013,Presente,0,0.3
C432032000019,Ausente,0,0.4
C432210000010,Ausente,0,0.3
S430960000001,Ausente,1.41,0.1
C431040000003,Ausente,0,0.9
C431040000013,Ausente,0,0.2
C432032000025,Ausente,0,0.5
C430960000018,Ausente,0,0.3
C431040000007,Ausente,0,0.6
C431040000015,Ausente,0,0.9
S431040000001,Ausente,1.32,0.4
C432032000010,Presente,0,0.3
C432032000018,Ausente,0,0.3
C432032000009,Ausente,0,0.6
C432032000011,Presente,0,0.3
C432032000017,Ausente,0,0.4
C432210000007,Presente,0,0.2
C432210000008,Ausente,0,0.3
C432210000018,Ausente,0,0.6
S432210000001,Ausente,1.82,1.2
S432210000001,Ausente,1.84,0.9
S432210000001,Ausente,1.81,0.8
S432210000001,Ausente,1.84,0.9
S430673000001,Ausente,0.99,0.2
S430673000001,Ausente,0.97,0.2
S430673000001,Ausente,0.8,0.2
C431507000002,Ausente,0.26,0.3
C431507000010,Ausente,1.23,0.3
C431507000001,Presente,0.22,0.6
C431507000015,Ausente,0.36,0.3
C431507000005,Ausente,0,0.2
C431507000016,Ausente,0.47,0.4
C431930000023,Ausente,0,1.2
C431930000006,Ausente,0,0.2
C431930000002,Presente,0,0.3
C431930000026,Ausente,0,0.3
I431930000006,Presente,0,18.2
C431930000027,Ausente,0,0.6
C431930000007,Presente,0,0.3
C431930000018,Ausente,0,0.2
C431930000009,Ausente,0,0.4
C431930000043,Ausente,0,0.1
C431930000012,Ausente,0,0.3
C431930000035,Ausente,0,0.6
C431930000022,Ausente,0,0.1
C431930000021,Presente,0,0.4
C431930000031,Ausente,0,0.1
C431930000020,Não realizada,0,0.1
C431930000040,Presente,0.08,0.2
C431930000037,Não realizada,0.13,0.1
C430370000034,Ausente,0,0.2
C430370000008,Ausente,0,0.2
C430370000001,Ausente,0,0.6
C430370000010,Ausente,0,0.2
C430370000016,Ausente,0,0.2
C430370000014,Presente,0,0.4
C430370000036,Ausente,0,0.3
C430370000029,Ausente,0,0.1
C430370000026,Ausente,0,0.2
C431342000009,Ausente,0,0.3
C431342000007,Ausente,0,0.2
C431342000003,Ausente,0,0.3
C431342000011,Presente,0,0.3
C431342000024,Presente,0,0.6
C431342000008,Ausente,0,0.2
C431040000004,Presente,0,0.6
S430673000001,Ausente,1.22,0.2
S430673000001,Ausente,1.2,0.2
S430673000001,Ausente,0.89,0.1
S431720000001,Ausente,0,0.2
S431720000001,Ausente,1.87,0.3
S431720000001,Ausente,1.82,0.3
S431720000001,Ausente,1.12,0.2
C430220000021,Ausente,0,0.2
C430220000019,Ausente,0,0.3
C430220000022,Ausente,0,0.2
C431505000007,Ausente,0,0.2
C431505000005,Ausente,0,0.4
C431505000001,Ausente,0,0.2
C431505000006,Ausente,0,0.3
C431505000008,Ausente,0,0.3
C431505000010,Presente,0,0.3
C431505000003,Ausente,0,0.2
C431505000002,Ausente,0,0.2
S432180000001,Ausente,1.1,0.1
S432180000001,Ausente,0.86,0.3
S432180000001,Ausente,0.65,0.2
S432180000001,Ausente,0.41,0.1
C431720000003,Ausente,0,1.5
C431720000002,Ausente,0,0.3
C431720000038,Ausente,0,0.2
C431720000005,Ausente,0,0.1
C430673000024,Ausente,0,0.2
S430673000001,Ausente,1.26,0.2
C430673000016,Ausente,0,0.2
C430673000012,Ausente,0,0.3
C430673000006,Ausente,0,0.3
C430673000010,Ausente,0,0.2
C431301000019,Ausente,0.3,0.3
C431301000039,Ausente,0,0.3
C431301000032,Ausente,0.5,0.3
C431301000015,Ausente,0.4,0.2
C431301000016,Ausente,0.3,0.2
C431301000029,Ausente,0.4,0.2
C431301000022,Presente,0.6,0.2
C431301000025,Presente,0.2,0.3
C431849000006,Ausente,0.13,0.4
C431849000007,Ausente,0.13,0.7
C431849000010,Ausente,0,0.1
C431849000014,Ausente,0.1,0.1
C431849000004,Ausente,0.33,0.4
S431849000001,Ausente,0.41,0.2
C431505000014,Ausente,0.2,0.2
C431505000018,Ausente,0.3,0.1
C431505000021,Ausente,0.81,0.2
C431505000020,Ausente,0.23,0.2
C431505000017,Ausente,0.29,0.2
C431505000023,Ausente,1.1,0.2
C431505000019,Ausente,0.25,0.2
C431505000016,Ausente,0.22,0.4
C431040000017,Ausente,0,0.3
C431040000018,Presente,0,0.3
C431040000016,Ausente,0,5.4
I431040000117,Ausente,0,0.3
C431040000012,Presente,0,0.6
C431040000002,Ausente,0,0.1
C431040000011,Ausente,0,0.3
S431040000001,Ausente,0,0.3
S431040000001,Ausente,2.24,0.2
S432210000001,Ausente,1.41,0.5
I432210000008,Ausente,0,0.5
I432210000008,Ausente,0,19
I432210000003,Presente,0,1.2
C432210000002,Presente,0,0.2
C432210000020,Ausente,0,0.3
S432210000001,Ausente,1.46,1
S432210000001,Ausente,1.47,0.7
S432210000001,Ausente,1.42,0.9
S432210000001,Ausente,1.44,0.8
S431500000001,Ausente,2.03,0.3
C431500000045,Presente,0,3.7
C431500000045,Presente,0,19
C431500000028,Ausente,0,0.3
C431500000003,Ausente,0,0.2
C431500000025,Presente,0,0.3
C431500000016,Ausente,0,0.2
C431500000036,Ausente,0,0.2
S431500000001,Ausente,0.18,0.2
C431500000037,Ausente,0,0.3
S431500000001,Ausente,0.85,0.2
C430370000023,Presente,0,0.4
C430370000028,Ausente,0,0.2
S430370000001,Ausente,0.82,0.6
C430370000011,Ausente,0,0.4
S430370000001,Ausente,1.21,0.4
C430370000037,Ausente,0,0.6
C430370000017,Ausente,0,0.8
C430370000019,Ausente,0,0.6
S430370000001,Ausente,1,0.2
S430030000001,Ausente,1.16,0.4
S430030000001,Ausente,0,0.2
S430030000001,Ausente,1.8,0.1
C430030000015,Ausente,0,0.1
C430030000013,Presente,0,0.6
C430030000022,Ausente,0,0.2
C430030000028,Ausente,0,0.6
C430030000016,Ausente,0,0.6
C430030000029,Presente,0,0.8
C431930000032,Ausente,0,0.3
C431930000014,Ausente,0,0.4
C431930000036,Ausente,0,0.2
C431930000011,Ausente,0,0.4
C431930000039,Ausente,0.2,0.2
C431930000016,Ausente,0,0.2
C431930000015,Ausente,0,0.2
C431930000044,Presente,0,0.4
C431930000045,Ausente,0,0.2
I431720000003,Presente,0,0.2
C432032000024,Ausente,0,0.3
C432032000014,Ausente,0,1.3
C432032000020,Ausente,0,0.5
C432032000021,Ausente,0,0.8
C432032000023,Ausente,0,0.8
C432032000002,Ausente,0,0.3
C432032000003,Ausente,0,0.5
C432032000022,Ausente,0,0.5
C431342000025,Ausente,0,0.4
C431342000021,Ausente,0,0.2
C431342000026,Ausente,0,0.2
C431342000001,Ausente,0,0.2
C431342000029,Ausente,0,0.8
C431507000014,Ausente,0,0.3
C431507000008,Ausente,0.47,0.2
C431507000009,Ausente,0.19,0.8
C431507000012,Ausente,0,0.3
C431507000013,Ausente,0,0.4
C431507000006,Ausente,0,0.3
C430673000004,Ausente,0,0.8
I430673000138,Presente,0,0.4
C430673000008,Ausente,0,0.2
S430673000001,Ausente,0.8,0.4
C430673000002,Ausente,0,0.4
C430673000009,Ausente,0,0.2
C430673000018,Ausente,0,0.3
C430673000026,Ausente,0,0.2
S430673000001,Ausente,0.87,0.2
I432210000006,Ausente,0,1
I432210000008,Presente,0,5
I432210000005,Ausente,0,0.6
S432210000001,Ausente,1.43,0.6
C432210000027,Ausente,0,0.5
S430900000001,Ausente,0.95,0.3
S430900000001,Ausente,0.93,0.4
C430900000003,Ausente,0,0.5
S430900000001,Ausente,1.61,0.3
S430900000001,Ausente,1.21,0.5
S430900000001,Ausente,0.89,0.6
S430900000001,Ausente,0.81,0.2
S430900000001,Ausente,1.12,0.4
S430900000001,Ausente,1.1,0.3
S430900000001,Ausente,0.9,0.4
S430900000001,Ausente,0.89,0.6
S432180000001,Ausente,1.85,0.4
C432180000006,Ausente,0,0.2
C432180000022,Ausente,0,0.3
S431720000001,Ausente,0.79,0.3
S431720000001,Ausente,1.06,0.2
S431720000001,Ausente,0.75,0.3
S432180000001,Ausente,2.09,0.5
S431720000001,Ausente,1.02,0.4
C431720000040,Ausente,0,0.1
S431720000001,Ausente,1.28,0.3
S431720000001,Ausente,1.14,0.6
S431720000001,Ausente,1.11,3.9
S431720000001,Ausente,1.32,0.2
S431720000001,Ausente,1.09,0.2
S431720000001,Ausente,1.13,0.3
C431849000008,Ausente,0,0.7
C431849000001,Ausente,0.25,0.2
S431849000001,Ausente,0.57,0.2
C431849000011,Ausente,0,0.7
C431849000003,Presente,0.15,0.5
C431849000012,Ausente,0.17,0.4
C430430000013,Ausente,0,0.3
S430430000001,Ausente,1.7,0.2
S430430000001,Ausente,1.7,0.3
S430430000001,Ausente,1.7,0.1
C430430000014,Ausente,0,0.3
C430430000001,Ausente,0,0.2
S430430000001,Ausente,1.3,1.2
C430430000008,Ausente,0.4,0.7
C430430000003,Ausente,0,0.2
C430430000027,Ausente,1.25,0.2
S430430000001,Ausente,1.3,0.3
C430430000026,Ausente,0.4,0.2
S430430000001,Ausente,1.25,0.3
C430430000009,Ausente,0.4,0.5
C430430000005,Ausente,0.4,1
C430430000020,Ausente,0.45,0.4
C430430000010,Ausente,0,0.3
C430430000006,Presente,0,5.4
C431930000037,Ausente,0.07,0.1
C431930000041,Ausente,0.46,0.2
C431930000040,Ausente,0.1,0.2
C431930000039,Ausente,0.23,0.2
C431930000033,Ausente,0,0.2
C431930000038,Ausente,0.14,0.2
C431930000013,Ausente,0,0.2
C431930000017,Ausente,0,0.2
C431930000034,Ausente,0,0.8
C431500000014,Ausente,0,0.3
S431500000001,Ausente,0.32,0.2
S431500000001,Ausente,0.32,0.2
C431500000045,Ausente,0,0.2
C431500000038,Ausente,0,0.3
C431500000041,Presente,0,0.8
C431500000032,Presente,0,0.4
C431500000013,Ausente,0,0.3
C431500000018,Ausente,0,0.1
C431500000043,Ausente,0,0.2
C431500000046,Ausente,0,0.6
C431500000001,Ausente,0,0.4
C430220000016,Ausente,0,0.4
C430220000029,Ausente,0,0.2
C430220000015,Presente,0,1.8
C430220000017,Ausente,0,0.3
C430220000014,Presente,0,1.9
C430220000027,Ausente,0,0.5
C430220000032,Ausente,0,0.3
C430220000030,Ausente,0,0.6
C430220000018,Ausente,0,0.4
C430220000025,Ausente,0,0.6
C430220000026,Ausente,0,0.3
C430045000012,Ausente,0,1.4
C430045000018,Ausente,0,0.2
C430045000012,Ausente,0,3
C430045000017,Ausente,0,1.2
C430045000005,Presente,0,0.5
C430045000019,Presente,0,0.2
C432180000019,Ausente,0,0.2
C432180000020,Ausente,0,0.2
C432180000014,Ausente,0,0.2
C432180000018,Ausente,0,0.1
S432210000001,Ausente,1.84,0.8
I432210000005,Ausente,0,0.5
I432210000008,Presente,0,3.6
C432210000007,Presente,0,0.6
C431342000028,Ausente,0,0.3
C430030000010,Ausente,0,0.2
S430030000001,Ausente,1.04,0.3
S430030000001,Ausente,0.86,0.2
S430030000001,Ausente,0.96,0.3
C430030000021,Ausente,0,0.4
C430030000020,Ausente,0,0.4
S430030000001,Ausente,0.92,0.2
C430030000001,Ausente,0,0.6
C430030000002,Ausente,0,0.2
I431790000024,Presente,0,5.6
C432180000021,Ausente,0,0.2
C432180000038,Ausente,0,0.4
C432180000032,Ausente,0,0.3
C432180000044,Ausente,0,0.7
C432180000036,Ausente,0,0.3
C432180000016,Presente,0,0.3
C432180000017,Ausente,0,0.2
C432180000015,Ausente,0,0.1
C431507000007,Ausente,0.09,0.3
C431507000003,Ausente,0.3,0.8
C431507000017,Ausente,0.24,0.3
C431507000004,Ausente,0.22,11.5
C431507000011,Ausente,0.49,0.8
C431507000016,Ausente,0.54,0.7
C431507000015,Ausente,0.88,0.3
C432210000021,Ausente,0,0.8
C432210000015,Presente,0,0.7
C432210000003,Ausente,0,0.5
C432210000014,Ausente,0.82,0.8
C431505000004,Ausente,0,0.1
C431505000012,Ausente,0,0.5
C431505000013,Ausente,0,0.4
C431505000011,Presente,0,2.4
C431505000002,Ausente,0,0.3
C431505000001,Ausente,0,0.2
C431505000015,Ausente,0,0.2
C431505000003,Ausente,0,0.2
I430370000022,Presente,0,1
C430370000027,Ausente,0,0.2
C430370000022,Ausente,0,0.5
S430370000001,Ausente,0.46,0.9
C430370000009,Ausente,0,0.9
C430370000012,Ausente,0,0.1
C430370000018,Ausente,0,0.2
S430370000001,Ausente,0.98,0.7
C430370000038,Ausente,0,0.2
C430045000022,Ausente,0.17,6.5
C430045000016,Ausente,0.19,4.4
C430045000010,Ausente,0.27,5.4
C430045000012,Ausente,0.42,1.3
C430045000015,Ausente,0.24,1
C430045000007,Presente,0,5.1
C432032000008,Ausente,0,0.4
C432032000004,Ausente,0,0.3
C432032000003,Ausente,0,0.2
C432032000010,Presente,0,0.7
C432032000016,Ausente,0,0.2
C432032000007,Ausente,0,0.2
C432032000017,Ausente,0,0.6
C432032000011,Ausente,0,0.2
I432032000004,Presente,0,0.3
S431720000001,Ausente,0.88,0.2
S431720000001,Ausente,0.79,0.3
S431720000001,Ausente,0.99,0.6
S431720000001,Ausente,0.9,0.7
C431720000041,Ausente,0.46,0.2
C431040000024,Ausente,0,0.2
C431040000007,Ausente,0,0.2
S431040000001,Ausente,1.31,0.2
C431040000013,Ausente,0,0.6
I431040000006,Ausente,0,0.2
S431040000001,Ausente,0.05,0.4
C431040000006,Ausente,0,0.3
C431040000005,Ausente,0,0.2
S431040000001,Ausente,1.8,0.3
C432230000006,Ausente,0,0.4
C430673000005,Presente,0.21,0.2
C430673000003,Não realizada,0.46,0.2
C430673000015,Presente,0.31,0.3
C430673000021,Ausente,0.08,0.1
C430673000007,Ausente,0.56,0.1
I430673000144,Ausente,0,0.1
I430673000004,Presente,0,0.7
I430673000025,Ausente,0,0.4
S430673000001,Ausente,0.6,0.2
C431849000006,Ausente,1.45,0.1
C431849000007,Ausente,0.17,0.2
C431849000013,Ausente,0.25,0.2
C431849000002,Ausente,0.25,0.4
C431849000005,Presente,0.19,0.3
C431849000009,Ausente,0.31,0.3
S431849000001,Ausente,0.62,0.6
C431301000023,Ausente,0.2,0.3
C431301000028,Ausente,0.2,0.2
C431301000024,Ausente,0.1,0.2
C431301000033,Ausente,0.2,0.2
C431301000018,Não realizada,2.8,0.2
C431301000017,Ausente,0.2,0.2
C431301000020,Ausente,1.5,0.4
C431301000021,Ausente,1,0.2
C431301000037,Ausente,0.2,0.3
C431301000038,Ausente,0.1,0.6
C431301000030,Presente,0.1,0.2
C431301000031,Ausente,0.2,0.2
C431301000034,Ausente,0.2,0.6
C431301000035,Ausente,0.2,1
C431301000036,Ausente,2,0.5
C430220000028,Ausente,0,0.2
C430370000033,Ausente,0,0.4
C430370000032,Ausente,0,0.2
C430370000039,Ausente,0,0.1
C430370000004,Presente,0,Não realizada
C430370000002,Ausente,0,0.2
C430370000030,Ausente,0,0.6
S430370000001,Ausente,0.86,0.2
S430370000001,Ausente,0.92,0.9
S430370000001,Presente,1.22,0.3
C430030000031,Ausente,0,0.5
C430030000027,Ausente,0,0.2
C430030000001,Ausente,0,0.2
C430030000021,Ausente,0,0.3
C430030000024,Ausente,0,0.9
S430030000001,Ausente,0.58,0.2
S430030000001,Ausente,0.69,0.2
S430030000001,Ausente,0.74,0.4
S430030000001,Ausente,0.74,0.3
C431040000022,Ausente,0,0.2
C431040000021,Ausente,0,0.3
S431040000001,Ausente,1.7,0.3
C431040000010,Ausente,0,0.4
C431040000008,Ausente,0,0.3
C431040000019,Ausente,0,0.3
C431040000026,Ausente,0,0.3
S431040000001,Ausente,1.3,0.6
C431040000031,Ausente,0,0.5
I431040000118,Ausente,0,0.6
C430220000012,Ausente,0,0.7
C430220000013,Ausente,0,0.2
C432230000017,Ausente,0,0.3
C432230000025,Ausente,0,0.1
C432230000007,Presente,0,0.5
C432230000020,Ausente,0,0.3
C432230000018,Ausente,0,0.2
C432230000008,Ausente,0,0.3
C432230000010,Ausente,0,0.2
C432230000014,Presente,0,0.2
C431930000041,Ausente,0.93,0.2
C431930000037,Ausente,0.09,0.2
C431930000038,Ausente,0.15,0.4
C431930000040,Ausente,0.12,0.2
C431930000039,Ausente,0,0.2
C431930000029,Ausente,0,0.3
C431930000030,Ausente,0,0.9
C431930000028,Ausente,0,0.2
C431930000001,Ausente,0,0.6
C431849000014,Ausente,0.49,0.2
C431849000008,Ausente,0,0.2
C431849000011,Ausente,0,0.1
C431849000004,Ausente,0.62,0.3
C431849000012,Ausente,0.33,0.4
C431849000001,Ausente,0.26,0.2
S431849000001,Ausente,1.1,0.1
I430370000032,Ausente,0,0.6
C430960000003,Ausente,0,0.2
C430960000005,Ausente,0,0.2
C430960000001,Ausente,0,0.2
C430960000014,Presente,0,0.3
C432180000027,Presente,0,0.4
C430960000022,Ausente,0,0.2
C430960000005,Ausente,0,0.1
S430960000001,Ausente,0,0.2
C430960000025,Ausente,0,0.2
C430960000021,Ausente,0,0.6
C430960000029,Ausente,0,0.2
S430960000001,Ausente,0,0.3
C430960000026,Ausente,0,0.3
S430960000001,Ausente,2.39,0.8
C430960000035,Ausente,0,0.2
C430960000031,Ausente,0,0.6
C430960000024,Presente,0,0.2
S430960000001,Ausente,1.22,0.3
C432180000035,Ausente,0,0.2
C431342000002,Ausente,0,0.3
C430960000032,Ausente,0,0.1
C430960000003,Presente,0,0.1
C430960000001,Ausente,0,0.2
C430960000031,Ausente,0,0.1
C432180000003,Ausente,0,0.1
C430960000007,Ausente,0,0.1
C431342000006,Presente,0,0.8
C430960000033,Ausente,0,0.4
C430960000017,Ausente,0,0.5
C431342000010,Presente,0,0.3
C430960000022,Ausente,0,0.1
C432180000031,Ausente,0,0.2
C430960000020,Ausente,0,0.2
C430960000024,Ausente,0,0.5
C431342000016,Ausente,0,0.5
C430960000032,Ausente,0,0.6
C430960000016,Ausente,0,0.1
C431342000013,Ausente,0,0.6
C431342000003,Ausente,0,0.2
S430960000001,Ausente,1.88,1.1
C430960000002,Ausente,0,0.2
C430960000016,Ausente,0,0.2
C430960000020,Ausente,0,0.3
C430960000035,Ausente,0,0.3
C430960000004,Ausente,0,0.4
S430960000001,Ausente,1.24,0.7
C430960000025,Ausente,0,0.3
C430960000026,Ausente,0,0.1
C430960000029,Ausente,0,0.2
C430960000021,Ausente,0,0.1
C430960000022,Ausente,0,0.1
S430960000001,Presente,0.95,0.3
S430960000001,Ausente,0.71,0.2
C430960000014,Ausente,0,0.1
C431342000004,Ausente,0,0.1
C431342000005,Ausente,0,0.2
C431342000012,Ausente,0,0.4
C431342000014,Presente,0,0.2
C431342000017,Ausente,0,0.2
C431342000018,Presente,0,0.2
C431505000005,Ausente,0,0.2
C432032000014,Ausente,0,1.2
C432032000020,Ausente,0,0.5
C432032000013,Presente,0,0.2
C432032000018,Ausente,0,0.2
C432032000012,Ausente,0,0.2
I432032000003,Presente,0,1.2
C432032000019,Ausente,0,0.2
C432032000015,Ausente,0,0.3
C432032000025,Presente,0,0.3
C430220000018,Ausente,0,0.2
C430220000016,Presente,0,0.1
C430220000029,Presente,0,0.1
C430220000017,Ausente,0,0.2
S430220000001,Ausente,0,0.4
C430673000005,Ausente,0.09,0.6
C430673000015,Ausente,0.09,0.3
S430673000001,Ausente,1.29,0.3
S430673000001,Ausente,1.39,0.6
C430673000016,Ausente,0,0.2
C430673000026,Ausente,0.08,0.2
C430673000029,Não realizada,0.1,0.2
C430673000012,Não realizada,0.09,0.3
S430673000001,Ausente,1.14,0.3
S430220000001,Não realizada,0,0.4
C431507000001,Ausente,0.41,0.3
S432210000001,Ausente,2,0.3
S430220000001,Ausente,0.55,0.6
C430220000023,Ausente,0,0.2
C430220000009,Ausente,0,0.2
C431507000002,Ausente,0.39,0.4
C430220000024,Ausente,0,0.2
C430220000001,Ausente,0,0.5
C430220000002,Ausente,0,0.1
C431507000005,Ausente,0,0.2
C430220000003,Ausente,0,0.9
C430220000004,Ausente,0,0.6
S430220000001,Ausente,0.5,0.8
C431507000010,Ausente,1.35,0.7
S430220000001,Ausente,0.49,0.3
S430220000001,Ausente,0.35,0.5
C431507000015,Ausente,1.85,0.4
S430220000001,Ausente,0.35,0.5
C431507000016,Ausente,1.38,0.3
S432210000001,Ausente,1.93,1.3
C432210000015,Ausente,0.73,1.1
C432210000017,Presente,0,0.3
C432210000022,Presente,0,0.8
C432210000023,Ausente,00,1.1
C431505000006,Ausente,0,0.3
C431505000007,Ausente,0,0.3
C431505000010,Presente,0,0.4
C431505000008,Ausente,0,0.5
C431505000001,Ausente,0,0.1
C431505000012,Ausente,0,0.3
C431505000013,Ausente,0,0.2
C432032000016,Ausente,0,0.1
I432210000005,Ausente,0,0.2
C432032000008,Ausente,0,0.1
C432032000004,Ausente,0,0.4
C432032000017,Ausente,0,0.3
C432032000002,Ausente,0,0.2
C432032000001,Ausente,0,0.7
C432032000003,Presente,0,0.2
S430430000001,Ausente,1.6,0.2
S430430000001,Ausente,1.6,0.3
S430430000001,Ausente,1.6,0.3
C430430000024,Ausente,0,0.5
C430430000025,Ausente,0,0.4
C430430000018,Ausente,0.5,0.4
C430430000021,Ausente,0.7,0.4
